Member Properties                                                                                                                                                                                                                                                                                                                                                  (kip-in units),,,,,,,,,,,,,,,,Load Case 1,,,,Load Case 1                                                Aggregate Deflection Joints,,,Load Case 2,,,,Load Case 2                                                Aggregate Deflection Joints,,,Load Case 3,,,,Load Case 3                                                Aggregate Deflection Joints,,,Load Case 4,,,,Load Case 4                                                Aggregate Deflection Joints,,,Load Case 5,,,,Load Case 5                                                Aggregate Deflection Joints,,,Load Case 6,,,,Load Case 6                                               Aggregate Deflection Joints,,,Nodal Supports                                                                                                                                                                                                                      (Yes = 1    No = 0),,,,,,,,,                     Available Shapes         ,,,,,,Group Shape Set,,
Member,Start X,Start Y,Start Z,End X,End Y,End Z,Layer,Group,E ,G,Fy,kby,kbz,key,kez,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,X,Y,Z,Rx,Ry,Rz,Mx,My,Mz,Section,Shape,D (in),t (in),wt (lb/ft),W (in),Group,From,To
1,0,9.5,-5.6596,0,3.0763,-5.6596,Bottom Chord 01,1,29000,11500,70,10000000000,10000000000,10000000000,10000000000,102,0,0,-0.019444444,0,114,0,88,0,0,-0.019444444,0,138,0,87,0,0,-0.019444444,0,150,0,87,0,0,-0.019444444,0,162,0,86,0,0,-0.019444444,0,168,0,85,0,0,-0.019444444,0,174,0,32.75,218.9237,-19.25,1,1,1,0,0,0,1,Rigid Link,0.5,0.5,0,0,1,44,54
2,0,22.5,-5.6596,0,9.5,-5.6596,Bottom Chord 01,1,29000,11500,70,10000000000,10000000000,10000000000,10000000000,105,0,0,-0.019444444,32.75,54,0,89,0,0,-0.019444444,32.75,66,0,88,0,0,-0.019444444,32.75,102,0,88,0,0,-0.019444444,32.75,60,0,87,0,0,-0.019444444,32.75,90,0,86,0,0,-0.019444444,32.75,119,0,0,237.0624,-19.25,1,0,1,0,0,0,2,Round Tubing,0.1875,0.035,0.05694498,0,2,44,54
3,0,35.5,-5.6596,0,22.5,-5.6596,Bottom Chord 01,1,29000,11500,70,10000000000,10000000000,10000000000,10000000000,106,0,0,-0.019444444,,,,93,0,0,-0.019444444,,,,89,0,0,-0.019444444,,,,89,0,0,-0.019444444,,,,88,0,0,-0.019444444,,,,87,0,0,-0.019444444,,,,0,3.0763,-19.25,1,0,1,0,0,0,3,Round Tubing,0.25,0.028,0.066317563,0,3,44,54
4,0,42,-5.6596,0,35.5,-5.6596,Bottom Chord 01,1,29000,11500,70,10000000000,10000000000,10000000000,10000000000,107,0,0,-0.019444444,,,,94,0,0,-0.019444444,,,,91,0,0,-0.019444444,,,,90,0,0,-0.019444444,,,,89,0,0,-0.019444444,,,,90,0,0,-0.019444444,,,,32.75,-15.0624,-19.25,1,0,1,0,0,0,4,Round Tubing,0.25,0.035,0.080283086,0,4,44,54
5,32.75,212.5,-5.6596,32.75,218.9237,-5.6596,Bottom Chord 01,1,29000,11500,70,10000000000,10000000000,10000000000,10000000000,108,0,0,-0.019444444,,,,103,0,0,-0.019444444,,,,92,0,0,-0.019444444,,,,91,0,0,-0.019444444,,,,90,0,0,-0.019444444,,,,91,0,0,-0.019444444,,,,,,,,,,,,,5,Round Tubing,0.25,0.049,0.10507749,0,5,44,54
6,32.75,199.5,-5.6596,32.75,212.5,-5.6596,Bottom Chord 01,1,29000,11500,70,10000000000,10000000000,10000000000,10000000000,109,0,0,-0.019444444,,,,104,0,0,-0.019444444,,,,93,0,0,-0.019444444,,,,92,0,0,-0.019444444,,,,91,0,0,-0.019444444,,,,92,0,0,-0.019444444,,,,,,,,,,,,,6,Round Tubing,0.25,0.065,0.128292905,0,6,44,54
7,32.75,186.5,-5.6596,32.75,199.5,-5.6596,Bottom Chord 01,1,29000,11500,70,10000000000,10000000000,10000000000,10000000000,110,0,0,-0.019444444,,,,108,0,0,-0.019444444,,,,94,0,0,-0.019444444,,,,93,0,0,-0.019444444,,,,92,0,0,-0.019444444,,,,132,0,0,-0.019444444,,,,,,,,,,,,,7,Round Tubing,0.3125,0.028,0.084988048,0,7,44,54
8,32.75,180,-5.6596,32.75,186.5,-5.6596,Bottom Chord 01,1,29000,11500,70,10000000000,10000000000,10000000000,10000000000,111,0,0,-0.019444444,,,,109,0,0,-0.019444444,,,,103,0,0,-0.019444444,,,,131,0,0,-0.019444444,,,,131,0,0,-0.019444444,,,,141,0,0,-0.019444444,,,,,,,,,,,,,8,Round Tubing,0.3125,0.035,0.103621193,0,8,44,54
9,32.75,158.9977,-5.6596,32.75,160.5,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,114,0,0,-0.019444444,,,,110,0,0,-0.019444444,,,,104,0,0,-0.019444444,,,,132,0,0,-0.019444444,,,,132,0,0,-0.019444444,,,,143,0,0,-0.019444444,,,,,,,,,,,,,9,Round Tubing,0.3125,0.049,0.137750839,0,9,78,85
10,32.75,147.5,-5.6596,32.75,158.9977,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,115,0,0,-0.019444444,,,,131,0,0,-0.019444444,,,,131,0,0,-0.019444444,,,,136,0,0,-0.019444444,,,,143,0,0,-0.019444444,,,,144,0,0,-0.019444444,,,,,,,,,,,,,10,Round Tubing,0.375,0.028,0.103658533,0,10,44,54
