Member Properties                                                                                                                                                                                                                                                                                                                                                  (kip-in units),,,,,,,,,,,,,,,,Load Case 1,,,,Load Case 1                                                Aggregate Deflection Joints,,,Load Case 2,,,,Load Case 2                                                Aggregate Deflection Joints,,,Load Case 3,,,,Load Case 3                                                Aggregate Deflection Joints,,,Load Case 4,,,,Load Case 4                                                Aggregate Deflection Joints,,,Load Case 5,,,,Load Case 5                                                Aggregate Deflection Joints,,,Load Case 6,,,,Load Case 6                                               Aggregate Deflection Joints,,,Nodal Supports                                                                                                                                                                                                                      (Yes = 1    No = 0),,,,,,,,,                     Available Shapes         ,,,,,,Group Shape Set,,
Member,Start X,Start Y,Start Z,End X,End Y,End Z,Layer,Group,E ,G,Fy,kby,kbz,key,kez,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,X,Y,Z,Rx,Ry,Rz,Mx,My,Mz,Section,Shape,D (in),t (in),wt (lb/ft),W (in),Group,From,To
1,0,22.5,-5.6596,0,9.5,-5.6596,Bottom Chord 01,1,29000,11500,70,10000000000,10000000000,10000000000,10000000000,157,0,0,-0.019444444,0,114,0,150,0,0,-0.019444444,0,138,0,148,0,0,-0.019444444,0,150,0,146,0,0,-0.019444444,0,162,0,132,0,0,-0.019444444,0,168,0,131,0,0,-0.019444444,0,174,0,32.75,219.2515,-19.25,1,1,1,0,0,0,1,Rigid Link,0.5,0.5,0,,1,45,55
2,0,35.5,-5.6596,0,22.5,-5.6596,Bottom Chord 01,1,29000,11500,70,10000000000,10000000000,10000000000,10000000000,158,0,0,-0.019444444,32.75,54,0,151,0,0,-0.019444444,32.75,66,0,149,0,0,-0.019444444,32.75,102,0,147,0,0,-0.019444444,32.75,60,0,146,0,0,-0.019444444,32.75,90,0,132,0,0,-0.019444444,32.75,119,0,0,237.0656,-19.25,0,1,1,0,0,0,2,Round Tubing,0.125,0.0625,0.041822,,2,45,55
3,0,42,-5.6596,0,35.5,-5.6596,Bottom Chord 01,1,29000,11500,70,10000000000,10000000000,10000000000,10000000000,159,0,0,-0.019444444,,,,152,0,0,-0.019444444,,,,150,0,0,-0.019444444,,,,148,0,0,-0.019444444,,,,147,0,0,-0.019444444,,,,146,0,0,-0.019444444,,,,0,2.7485,-19.25,0,0,1,0,0,0,3,Round Tubing,0.1875,0.035,0.05694498,,3,45,55
4,0,9.5,-5.6596,0,6.1463,-5.6596,Bottom Chord 01,1,29000,11500,70,10000000000,10000000000,10000000000,10000000000,164,0,0,-0.019444444,,,,153,0,0,-0.019444444,,,,151,0,0,-0.019444444,,,,149,0,0,-0.019444444,,,,148,0,0,-0.019444444,,,,147,0,0,-0.019444444,,,,32.75,-15.0656,-19.25,1,0,1,0,0,0,4,Round Tubing,0.25,0.028,0.066317563,,4,45,55
5,0,6.1463,-5.6596,0,2.7485,-5.6596,Bottom Chord 01,1,29000,11500,70,10000000000,10000000000,10000000000,10000000000,165,0,0,-0.019444444,,,,156,0,0,-0.019444444,,,,152,0,0,-0.019444444,,,,150,0,0,-0.019444444,,,,149,0,0,-0.019444444,,,,148,0,0,-0.019444444,,,,,,,,,,,,,5,Round Tubing,0.25,0.035,0.080283086,,5,45,55
6,32.75,215.8537,-5.6596,32.75,219.2515,-5.6596,Bottom Chord 01,1,29000,11500,70,10000000000,10000000000,10000000000,10000000000,166,0,0,-0.019444444,,,,171,0,0,-0.019444444,,,,153,0,0,-0.019444444,,,,151,0,0,-0.019444444,,,,153,0,0,-0.019444444,,,,149,0,0,-0.019444444,,,,,,,,,,,,,6,Round Tubing,0.25,0.049,0.10507749,,6,45,55
7,32.75,212.5,-5.6596,32.75,215.8537,-5.6596,Bottom Chord 01,1,29000,11500,70,10000000000,10000000000,10000000000,10000000000,167,0,0,-0.019444444,,,,172,0,0,-0.019444444,,,,154,0,0,-0.019444444,,,,153,0,0,-0.019444444,,,,154,0,0,-0.019444444,,,,154,0,0,-0.019444444,,,,,,,,,,,,,7,Round Tubing,0.25,0.065,0.128292905,,7,45,55
8,32.75,199.5,-5.6596,32.75,212.5,-5.6596,Bottom Chord 01,1,29000,11500,70,10000000000,10000000000,10000000000,10000000000,168,0,0,-0.019444444,,,,173,0,0,-0.019444444,,,,155,0,0,-0.019444444,,,,154,0,0,-0.019444444,,,,155,0,0,-0.019444444,,,,155,0,0,-0.019444444,,,,,,,,,,,,,8,Round Tubing,0.3125,0.028,0.084988048,,8,45,55
9,32.75,186.5,-5.6596,32.75,199.5,-5.6596,Bottom Chord 01,1,29000,11500,70,10000000000,10000000000,10000000000,10000000000,169,0,0,-0.019444444,,,,176,0,0,-0.019444444,,,,156,0,0,-0.019444444,,,,155,0,0,-0.019444444,,,,156,0,0,-0.019444444,,,,182,0,0,-0.019444444,,,,,,,,,,,,,9,Round Tubing,0.3125,0.035,0.103621193,,9,45,55
10,32.75,180,-5.6596,32.75,186.5,-5.6596,Bottom Chord 01,1,29000,11500,70,10000000000,10000000000,10000000000,10000000000,170,0,0,-0.019444444,,,,177,0,0,-0.019444444,,,,171,0,0,-0.019444444,,,,156,0,0,-0.019444444,,,,180,0,0,-0.019444444,,,,204,0,0,-0.019444444,,,,,,,,,,,,,10,Round Tubing,0.3125,0.049,0.137750839,,10,45,55
11,0,81,-5.6596,0,77.5,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,173,0,0,-0.019444444,,,,178,0,0,-0.019444444,,,,172,0,0,-0.019444444,,,,180,0,0,-0.019444444,,,,181,0,0,-0.019444444,,,,205,0,0,-0.019444444,,,,,,,,,,,,,11,Round Tubing,0.375,0.028,0.103658533,,11,45,55
12,0,77.5,-5.6596,0,70.5,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,174,0,0,-0.019444444,,,,179,0,0,-0.019444444,,,,177,0,0,-0.019444444,,,,181,0,0,-0.019444444,,,,182,0,0,-0.019444444,,,,206,0,0,-0.019444444,,,,,,,,,,,,,12,Round Tubing,0.375,0.035,0.126959299,,12,45,55
13,0,65.0923,-5.6596,0,64.0196,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,175,0,0,-0.019444444,,,,180,0,0,-0.019444444,,,,180,0,0,-0.019444444,,,,182,0,0,-0.019444444,,,,204,0,0,-0.019444444,,,,207,0,0,-0.019444444,,,,,,,,,,,,,13,Round Tubing,0.375,0.049,0.170424188,,13,45,55
14,0,67,-5.6596,0,65.0923,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,176,0,0,-0.019444444,,,,181,0,0,-0.019444444,,,,181,0,0,-0.019444444,,,,183,0,0,-0.019444444,,,,205,0,0,-0.019444444,,,,208,0,0,-0.019444444,,,,,,,,,,,,,14,Round Tubing,0.4375,0.028,0.122329019,,14,45,55
15,0,70.5,-5.6596,0,67,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,178,0,0,-0.019444444,,,,183,0,0,-0.019444444,,,,182,0,0,-0.019444444,,,,204,0,0,-0.019444444,,,,206,0,0,-0.019444444,,,,209,0,0,-0.019444444,,,,,,,,,,,,,15,Round Tubing,0.4375,0.035,0.150297405,,15,45,55
16,0,64.0196,-5.6596,0,62,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,179,0,0,-0.019444444,,,,184,0,0,-0.019444444,,,,183,0,0,-0.019444444,,,,205,0,0,-0.019444444,,,,207,0,0,-0.019444444,,,,210,0,0,-0.019444444,,,,,,,,,,,,,16,Round Tubing,0.4375,0.049,0.203097537,,16,45,55
17,0,52,-5.6596,0,45.3333,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,188,0,0,-0.019444444,,,,185,0,0,-0.019444444,,,,184,0,0,-0.019444444,,,,206,0,0,-0.019444444,,,,208,0,0,-0.019444444,,,,212,0,0,-0.019444444,,,,,,,,,,,,,17,Round Tubing,0.5,0.028,0.140999504,,17,45,55
18,0,58.6667,-5.6596,0,52,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,189,0,0,-0.019444444,,,,186,0,0,-0.019444444,,,,185,0,0,-0.019444444,,,,207,0,0,-0.019444444,,,,212,0,0,-0.019444444,,,,213,0,0,-0.019444444,,,,,,,,,,,,,18,Round Tubing,0.5,0.035,0.173635512,,18,9,23
19,0,62,-5.6596,0,58.6667,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,191,0,0,-0.019444444,,,,187,0,0,-0.019444444,,,,186,0,0,-0.019444444,,,,208,0,0,-0.019444444,,,,213,0,0,-0.019444444,,,,214,0,0,-0.019444444,,,,,,,,,,,,,19,Round Tubing,0.5,0.049,0.235770886,,19,9,23
20,0,45.3333,-5.6596,0,42,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,196,0,0,-0.019444444,,,,188,0,0,-0.019444444,,,,187,0,0,-0.019444444,,,,213,0,0,-0.019444444,,,,214,0,0,-0.019444444,,,,215,0,0,-0.019444444,,,,,,,,,,,,,20,Round Tubing,0.5,0.058,0.273506604,,20,9,23
21,32.75,163.3333,-5.6596,32.75,170,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,197,0,0,-0.019444444,,,,189,0,0,-0.019444444,,,,190,0,0,-0.019444444,,,,214,0,0,-0.019444444,,,,215,0,0,-0.019444444,,,,159,0,0,-0.0125,,,,,,,,,,,,,21,Round Tubing,0.5,0.065,0.301661696,,21,9,23
22,32.75,160,-5.6596,32.75,163.3333,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,127,0,0,-0.0125,,,,190,0,0,-0.019444444,,,,204,0,0,-0.019444444,,,,136,0,0,-0.0125,,,,139,0,0,-0.0125,,,,164,0,0,-0.0125,,,,,,,,,,,,,22,Round Tubing,0.625,0.028,0.178340474,,22,9,23
23,32.75,157.9804,-5.6596,32.75,160,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,136,0,0,-0.0125,,,,191,0,0,-0.019444444,,,,205,0,0,-0.019444444,,,,137,0,0,-0.0125,,,,140,0,0,-0.0125,,,,165,0,0,-0.0125,,,,,,,,,,,,,23,Round Tubing,0.625,0.035,0.220311725,,23,9,23
24,32.75,170,-5.6596,32.75,176.6667,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,137,0,0,-0.0125,,,,137,0,0,-0.0125,,,,207,0,0,-0.019444444,,,,138,0,0,-0.0125,,,,141,0,0,-0.0125,,,,166,0,0,-0.0125,,,,,,,,,,,,,24,Round Tubing,0.625,0.049,0.301117584,,24,45,55
25,32.75,176.6667,-5.6596,32.75,180,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,138,0,0,-0.0125,,,,138,0,0,-0.0125,,,,157,0,0,-0.0125,,,,139,0,0,-0.0125,,,,157,0,0,-0.0125,,,,167,0,0,-0.0125,,,,,,,,,,,,,25,Round Tubing,0.625,0.058,0.350855757,,25,45,55
26,32.75,156.9077,-5.6596,32.75,157.9804,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,142,0,0,-0.0125,,,,139,0,0,-0.0125,,,,158,0,0,-0.0125,,,,140,0,0,-0.0125,,,,158,0,0,-0.0125,,,,168,0,0,-0.0125,,,,,,,,,,,,,26,Round Tubing,0.625,0.065,0.388346091,,26,45,55
27,32.75,141,-5.6596,32.75,144.5,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,143,0,0,-0.0125,,,,140,0,0,-0.0125,,,,159,0,0,-0.0125,,,,142,0,0,-0.0125,,,,159,0,0,-0.0125,,,,169,0,0,-0.0125,,,,,,,,,,,,,27,Round Tubing,0.75,0.028,0.215681444,,27,45,55
28,32.75,155,-5.6596,32.75,156.9077,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,144,0,0,-0.0125,,,,141,0,0,-0.0125,,,,160,0,0,-0.0125,,,,143,0,0,-0.0125,,,,160,0,0,-0.0125,,,,170,0,0,-0.0125,,,,,,,,,,,,,28,Round Tubing,0.75,0.035,0.266987938,,28,45,55
29,32.75,151.5,-5.6596,32.75,155,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,145,0,0,-0.0125,,,,142,0,0,-0.0125,,,,162,0,0,-0.0125,,,,144,0,0,-0.0125,,,,161,0,0,-0.0125,,,,172,0,0,-0.0125,,,,,,,,,,,,,29,Round Tubing,0.75,0.049,0.366464282,,29,45,55
30,32.75,144.5,-5.6596,32.75,151.5,-5.6596,Bottom Chord 02,2,29000,11500,70,10000000000,10000000000,10000000000,10000000000,199,0,0,-0.0125,,,,143,0,0,-0.0125,,,,163,0,0,-0.0125,,,,145,0,0,-0.0125,,,,162,0,0,-0.0125,,,,173,0,0,-0.0125,,,,,,,,,,,,,30,Round Tubing,0.75,0.058,0.428204909,,30,45,55
